legacy_id,sources,in_main_source,in_clean_bundle,coverage_status
eb28c8d0,CRM|Galerie|Prestataires,false,false,missing_from_main_source
ebb42bed,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
ebed52c4,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
ec44993c,Prestataires,false,false,missing_from_main_source
eccd29ab,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires,true,true,in_clean_bundle
eeb7389e,CRM|Galerie|Prestataires,false,false,missing_from_main_source
efc1fd94,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
f1649a3c,CRM|D_Durable|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
f18563bc,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires,true,true,in_clean_bundle
f27d27f0,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
f28b7b1d,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
f2be7df6,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
f33f1d02,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Prestataires|Tarifs,true,true,in_clean_bundle
f373d39c,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
f3da8e1d,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
f4375377,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
f44a8ee8,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires,true,true,in_clean_bundle
f45e99ad,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
f5205cba,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
f5c25043,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
