schema,table_name,index_name,is_unique,is_primary,is_partial,method,index_def
public,object_discount,object_discount_pkey,t,t,f,btree,CREATE UNIQUE INDEX object_discount_pkey ON public.object_discount USING btree (id)
public,object_environment_tag,idx_object_environment_tag_environment_tag_id,f,f,f,btree,CREATE INDEX idx_object_environment_tag_environment_tag_id ON public.object_environment_tag USING btree (environment_tag_id)
public,object_environment_tag,idx_object_environment_tag_object_id,f,f,f,btree,CREATE INDEX idx_object_environment_tag_object_id ON public.object_environment_tag USING btree (object_id)
public,object_environment_tag,object_environment_tag_pkey,t,t,f,btree,"CREATE UNIQUE INDEX object_environment_tag_pkey ON public.object_environment_tag USING btree (object_id, environment_tag_id)"
public,object_external_id,idx_object_external_id_object_id,f,f,f,btree,CREATE INDEX idx_object_external_id_object_id ON public.object_external_id USING btree (object_id)
public,object_external_id,idx_object_external_id_organization_object_id,f,f,f,btree,CREATE INDEX idx_object_external_id_organization_object_id ON public.object_external_id USING btree (organization_object_id)
public,object_external_id,object_external_id_pkey,t,t,f,btree,CREATE UNIQUE INDEX object_external_id_pkey ON public.object_external_id USING btree (id)
public,object_external_id,uq_object_external_id_by_source,t,f,f,btree,"CREATE UNIQUE INDEX uq_object_external_id_by_source ON public.object_external_id USING btree (organization_object_id, source_system, external_id)"
public,object_external_id,uq_object_external_id_object_org_source,t,f,f,btree,"CREATE UNIQUE INDEX uq_object_external_id_object_org_source ON public.object_external_id USING btree (object_id, organization_object_id, source_system)"
public,object_fma,idx_object_fma_object_id,f,f,f,btree,CREATE INDEX idx_object_fma_object_id ON public.object_fma USING btree (object_id)
public,object_fma,object_fma_pkey,t,t,f,btree,CREATE UNIQUE INDEX object_fma_pkey ON public.object_fma USING btree (object_id)
public,object_fma_occurrence,idx_object_fma_occ_object,f,f,f,btree,CREATE INDEX idx_object_fma_occ_object ON public.object_fma_occurrence USING btree (object_id)
public,object_fma_occurrence,idx_object_fma_occ_start,f,f,f,btree,CREATE INDEX idx_object_fma_occ_start ON public.object_fma_occurrence USING btree (start_at)
public,object_fma_occurrence,object_fma_occurrence_pkey,t,t,f,btree,CREATE UNIQUE INDEX object_fma_occurrence_pkey ON public.object_fma_occurrence USING btree (id)
public,object_group_policy,idx_object_group_policy_object,f,f,f,btree,CREATE INDEX idx_object_group_policy_object ON public.object_group_policy USING btree (object_id)
public,object_group_policy,object_group_policy_pkey,t,t,f,btree,CREATE UNIQUE INDEX object_group_policy_pkey ON public.object_group_policy USING btree (object_id)
public,object_iti,idx_iti_geom_bbox,f,f,t,gist,CREATE INDEX idx_iti_geom_bbox ON public.object_iti USING gist (geom) WHERE (geom IS NOT NULL)
public,object_iti,idx_iti_with_track,f,f,t,btree,"CREATE INDEX idx_iti_with_track ON public.object_iti USING btree (object_id, distance_km, difficulty_level) WHERE (geom IS NOT NULL)"
public,object_iti,idx_object_iti_geom,f,f,f,gist,CREATE INDEX idx_object_iti_geom ON public.object_iti USING gist (geom)
public,object_iti,idx_object_iti_object_id,f,f,f,btree,CREATE INDEX idx_object_iti_object_id ON public.object_iti USING btree (object_id)
public,object_iti,object_iti_pkey,t,t,f,btree,CREATE UNIQUE INDEX object_iti_pkey ON public.object_iti USING btree (object_id)
public,object_iti_associated_object,idx_object_iti_associated_object_associated_object_id,f,f,f,btree,CREATE INDEX idx_object_iti_associated_object_associated_object_id ON public.object_iti_associated_object USING btree (associated_object_id)
public,object_iti_associated_object,idx_object_iti_associated_object_object_id,f,f,f,btree,CREATE INDEX idx_object_iti_associated_object_object_id ON public.object_iti_associated_object USING btree (object_id)
public,object_iti_associated_object,object_iti_associated_object_pkey,t,t,f,btree,"CREATE UNIQUE INDEX object_iti_associated_object_pkey ON public.object_iti_associated_object USING btree (object_id, associated_object_id, role_id)"
